
=== p10: 200/192 B (392 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +6.37% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
  pre-knee mean Δ = +0.06% (spread 1.32 across 18 steps) -> NOT resolved (error spans 0)

=== p90: 12000/10000 B (22000 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +0.11% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
    2000      0.984      0.976     -0.71%±6.76      +2.76%±5.58      -6.48%±7.45     -0.12%   2
    4000      1.006      0.921     -8.21%±6.87     -18.96%±9.90     -26.91%±19.79    +0.25%   2
    6000      0.899      0.918     +2.20%±2.04      +0.02%±0.89     -13.13%±5.00     -0.00%   2
    8000      0.932      1.011     +8.88%±9.81     +17.08%±21.10    +46.18%±22.08    -0.11%   2
   10000      0.944      1.060    +12.20%±16.20    +32.26%±45.62    +76.52%±82.13    -0.25%   2
   12000      1.280      1.292     +1.00%±2.14     +12.83%±11.48    +61.13%±74.51    +0.01%   2
   14000   1065.874    847.042    -14.27%±30.82    -13.96%±21.89    -21.75%±22.23    +1.93%   2
   16000   3087.997   2903.580     -5.40%±11.27     -5.35%±11.29     -5.73%±12.51    +1.83%   2
   18000   4773.023   4513.377     -5.24%±5.76      -3.75%±5.09      -2.00%±6.23     +1.52%   2
  pre-knee mean Δ = +2.87% (spread 8.05 across 5 steps) -> NOT resolved (error spans 0)

=== p90: 12000/10000 B (22000 B round trip) — bridge 'sb' (mean +32.95 B on request, +0.15% of round trip, CV_size=2.86) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
    2000      0.984      1.002     +1.83%±4.02      +2.84%±11.13     -3.10%±26.14    -0.13%   2
    4000      1.006      0.899    -10.25%±10.95    -20.91%±11.90    -34.63%±13.72    +0.25%   2
    6000      0.899      0.924     +2.88%±2.69      +1.91%±0.97     -11.12%±4.25     -0.00%   2
    8000      0.932      0.915     -1.66%±3.14      -1.64%±6.09      -1.16%±9.64     +0.14%   2
   10000      0.944      0.957     +1.32%±0.36      +4.54%±2.70     +15.69%±16.69    +0.00%   2
   12000      1.280      1.262     -1.34%±0.59     +19.06%±11.47    +28.46%±34.66    +0.01%   2
   14000   1065.874    805.495    -18.42%±29.57    -16.49%±21.18    -16.36%±15.04    +1.79%   2
